"date","tz","Hospital_PK","Level","PDR","PBR","total","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","C01","C02","C03","C04","C05","C06","B01","B02","B03","B04","B05","B06","Light"
2013-01-01,"[8,12)",11,2,12,1,30,26,5,3,2,0,0,0,2,15,13,0,8,3,0,12,57,0,0,0,0,0,0,0,0,0,6,0,0,0,4
2013-01-01,"[8,12)",12,2,6.5,0.52,13,12,1,0,0,0,0,0,0,13,0,0,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,1
2013-01-01,"[8,12)",16,2,6,0.275,15,8,0,3,1,0,0,0,2,7,5,1,13,13,1,2,67,0,0,1,0,0,3,0,0,0,6,4,8,0,1
2013-01-01,"[8,12)",17,2,5,0.25,5,5,0,0,0,0,0,0,0,5,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1
2013-01-01,"[8,12)",40,2,8,0.533333333333333,8,6,2,0,0,0,0,1,1,6,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
2013-01-01,"[12,16)",6,1,6.5,0.619047619047619,0,9,4,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,"[12,16)",22,1,9.66666666666667,0.527777777777778,58,49,5,3,0,1,0,0,17,33,6,2,11,13,4,17,2873,0,0,1,0,0,2,0,0,4,4,2,1,1,1
2013-01-01,"[12,16)",35,1,10,0.387254901960784,79,66,12,1,0,1,0,3,26,50,0,0,17,18,10,24,1564,2,2,0,4,4,1,0,0,2,1,7,6,0,1
2013-01-01,"[12,16)",11,2,9.25,1,28,27,4,3,1,2,0,0,1,19,8,0,10,3,1,7,357,0,0,0,0,0,0,0,0,0,4,0,0,0,4
2013-01-01,"[12,16)",12,2,8.66666666666667,1.04,26,16,9,1,0,0,0,1,3,16,5,1,15,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,4
2013-01-01,"[12,16)",16,2,8.5,0.375,16,9,1,5,1,0,1,0,2,10,4,0,15,12,1,1,49,0,0,1,0,0,3,0,0,0,5,4,8,0,1
2013-01-01,"[12,16)",17,2,9,0.45,9,4,4,1,0,0,0,0,0,6,3,0,5,6,2,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,1
2013-01-01,"[12,16)",40,2,9,0.6,9,8,1,0,0,0,0,0,0,7,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1
2013-01-01,"[16,20)",6,1,7.5,0.714285714285714,0,9,4,2,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,"[16,20)",22,1,11.1666666666667,0.62037037037037,67,57,6,4,0,0,0,4,15,41,7,0,12,10,3,19,3263,3,0,1,0,0,3,0,0,4,3,3,0,0,1
2013-01-01,"[16,20)",35,1,13.8,0.338235294117647,69,51,12,6,0,0,0,3,19,46,1,0,18,24,8,22,1564,3,3,0,4,5,1,0,0,1,1,9,7,0,3
2013-01-01,"[16,20)",11,2,6.25,0.676470588235294,18,16,6,1,2,0,0,0,1,15,2,0,7,0,0,8,567,0,0,0,0,0,0,0,0,0,5,0,0,0,1
2013-01-01,"[16,20)",12,2,8.33333333333333,1,27,19,5,1,0,0,0,0,3,18,6,0,9,4,0,0,0,0,0,1,5,0,0,0,0,0,0,3,1,0,4
2013-01-01,"[16,20)",16,2,4,0.175,8,7,0,0,1,0,0,0,0,6,1,1,12,11,1,0,0,0,0,0,0,0,3,0,0,0,6,6,8,0,1
2013-01-01,"[16,20)",17,2,4,0.2,5,3,1,0,0,0,0,0,0,5,0,0,9,5,0,1,16,0,0,0,0,0,0,3,0,0,10,0,0,0,1
2013-01-01,"[16,20)",40,2,8,0.533333333333333,8,7,1,0,0,0,0,1,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1
2013-01-01,"[20,24)",6,1,7,0.619047619047619,1,6,4,3,1,0,0,1,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,"[20,24)",22,1,12.3333333333333,0.657407407407407,74,56,6,9,3,0,0,1,17,51,5,0,16,12,2,22,3473,1,0,1,0,0,4,0,0,3,2,2,0,1,3
2013-01-01,"[20,24)",35,1,14.2,0.343137254901961,70,50,11,9,1,0,0,4,30,36,0,0,17,29,5,27,1564,3,2,0,4,7,1,0,0,1,1,8,6,0,3
2013-01-01,"[20,24)",11,2,8,0.852941176470588,22,23,4,2,1,2,0,0,1,17,4,0,15,1,0,7,777,0,0,0,0,0,0,0,0,0,5,0,0,0,3
2013-01-01,"[20,24)",12,2,14.5,1.16,30,25,4,0,0,0,0,2,3,20,4,1,8,6,0,0,0,0,0,1,5,0,0,0,0,0,0,3,1,0,4
2013-01-01,"[20,24)",16,2,5,0.25,11,9,0,1,0,0,0,0,3,8,0,0,10,19,1,1,53,0,0,0,0,0,3,0,0,0,5,6,8,0,1
2013-01-01,"[20,24)",17,2,7,0.3,7,6,0,0,1,0,0,0,1,4,1,1,6,2,1,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,1
2013-01-01,"[20,24)",40,2,8,0.533333333333333,8,7,1,0,0,0,0,0,1,7,0,0,3,8,1,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1
2013-01-02,"[0,4)",6,1,1,0.0952380952380952,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-02,"[0,4)",22,1,11.1666666666667,0.611111111111111,67,60,2,4,1,0,0,2,17,45,3,0,7,7,2,26,3683,1,0,0,0,0,0,0,0,3,2,2,1,1,1
2013-01-02,"[0,4)",35,1,18.25,0.348039215686274,71,54,5,12,0,0,2,4,27,40,0,0,7,12,1,33,1564,2,1,0,187,0,0,0,0,1,0,8,6,0,3
2013-01-02,"[0,4)",11,2,9.66666666666667,0.823529411764706,26,23,3,2,1,0,0,0,2,21,3,0,9,3,0,5,69,0,0,0,31,0,0,31,0,0,4,0,0,0,1
2013-01-02,"[0,4)",12,2,9.5,0.76,19,16,3,0,0,0,0,0,1,13,4,1,2,12,0,0,0,0,0,0,13,0,0,0,0,0,0,3,1,0,1
2013-01-02,"[0,4)",16,2,5,0.225,10,6,0,3,1,0,0,0,2,2,5,1,4,7,2,3,1581,0,0,0,12,0,0,12,0,0,3,6,8,0,1
2013-01-02,"[0,4)",17,2,1,0.05,2,1,0,0,0,0,0,0,0,2,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
2013-01-02,"[0,4)",40,2,5,0.333333333333333,5,3,1,1,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1
2013-01-02,"[4,8)",6,1,1.5,0.142857142857143,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-02,"[4,8)",22,1,11.5,0.638888888888889,69,64,2,3,0,0,0,2,17,46,4,0,4,4,1,26,3923,1,0,2,0,0,2,0,0,3,2,2,1,1,1
2013-01-02,"[4,8)",35,1,17,0.333333333333333,68,55,6,7,0,0,0,6,28,34,0,0,4,5,0,32,1564,2,1,0,187,0,0,0,0,1,1,8,6,0,3
2013-01-02,"[4,8)",11,2,8.33333333333333,0.735294117647059,24,21,2,2,0,0,0,1,2,18,3,0,3,1,1,8,399,0,0,0,31,0,0,31,0,0,3,0,0,0,1
2013-01-02,"[4,8)",12,2,7,0.56,14,12,2,0,0,0,0,0,1,10,2,1,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,3,1,0,1
2013-01-02,"[4,8)",16,2,6,0.275,10,8,1,2,1,0,0,0,3,2,3,2,9,6,0,3,1851,0,0,0,12,0,0,12,0,0,3,6,8,0,1
2013-01-02,"[4,8)",17,2,1,0.05,3,1,0,0,0,0,0,0,0,3,0,0,3,1,0,1,13,0,0,0,0,0,0,0,0,0,11,0,0,0,1
2013-01-02,"[4,8)",40,2,6,0.4,6,3,1,2,0,0,0,0,0,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1
2013-01-02,"[8,12)",6,1,5,0.476190476190476,0,9,1,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-02,"[8,12)",22,1,13.1666666666667,0.694444444444444,79,63,8,4,2,2,0,2,18,55,4,0,16,4,1,28,4133,0,0,4,20,0,4,20,0,2,2,2,1,1,3
2013-01-02,"[8,12)",35,1,19.25,0.367647058823529,75,60,9,6,1,1,0,7,34,32,2,0,13,5,2,35,1564,2,3,0,139,1,0,41,0,1,0,8,6,2,3
2013-01-02,"[8,12)",11,2,10,0.852941176470588,28,25,3,1,1,0,0,0,4,20,4,0,6,1,0,9,609,0,0,0,29,0,0,32,0,0,3,0,0,0,3
2013-01-02,"[8,12)",12,2,14.5,1.16,29,15,13,1,0,0,0,1,3,21,3,1,5,2,0,0,0,0,0,1,12,0,0,0,0,0,0,3,1,0,4
2013-01-02,"[8,12)",16,2,5.5,0.225,12,7,1,1,1,0,1,0,1,8,2,1,8,4,1,1,49,0,0,1,7,0,1,13,0,0,3,6,8,0,1
2013-01-02,"[8,12)",17,2,3,0.15,6,2,1,0,0,0,0,0,0,6,0,0,4,2,0,3,72,0,0,0,3,0,0,0,0,0,12,0,0,0,1
2013-01-02,"[8,12)",40,2,5,0.333333333333333,5,2,2,1,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,4,0,0,3,0,0,1,0,3,0,1
2013-01-02,"[12,16)",6,1,7,0.666666666666667,0,9,4,1,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-02,"[12,16)",22,1,13.6666666666667,0.75,82,68,12,1,0,0,1,2,16,61,3,0,9,10,1,27,4313,1,0,4,20,0,8,38,0,2,2,2,0,1,3
2013-01-02,"[12,16)",35,1,11,0.426470588235294,87,73,12,2,1,0,0,3,39,44,1,0,13,19,8,35,3037,3,4,0,63,5,2,125,0,4,1,10,5,0,1
2013-01-02,"[12,16)",11,2,8.25,0.882352941176471,27,23,6,1,3,0,0,0,4,17,6,0,7,1,2,10,729,0,0,0,27,0,0,38,0,0,2,0,0,0,3
2013-01-02,"[12,16)",12,2,13.3333333333333,1.6,41,29,9,2,0,0,0,2,2,30,6,1,5,0,0,0,0,0,0,1,17,0,0,0,0,0,0,3,1,0,4
2013-01-02,"[12,16)",16,2,4.5,0.175,9,5,0,2,2,0,0,0,1,7,1,0,7,3,0,0,0,0,0,2,1,0,5,14,0,0,3,3,9,0,1
2013-01-02,"[12,16)",17,2,7,0.3,10,5,1,0,1,0,0,0,0,10,0,0,5,2,3,3,331,0,0,0,7,0,0,11,0,0,18,0,0,0,1
2013-01-02,"[12,16)",40,2,9,0.533333333333333,9,3,5,0,1,0,0,1,1,7,0,0,4,4,1,0,0,0,0,0,2,0,0,10,0,0,2,0,3,0,1
2013-01-02,"[16,20)",6,1,6.5,0.619047619047619,0,8,4,1,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-02,"[16,20)",22,1,13,0.703703703703704,78,71,4,1,2,0,0,2,15,55,6,0,10,9,3,25,3791,1,0,4,3,0,14,62,0,3,1,1,1,3,3
2013-01-02,"[16,20)",35,1,17.4,0.42156862745098,86,67,15,4,1,0,0,4,39,39,4,0,16,13,8,35,2276,2,2,0,25,9,2,171,0,3,1,7,3,0,3
2013-01-02,"[16,20)",11,2,6.75,0.735294117647059,21,22,2,1,2,0,0,0,2,17,2,0,9,2,1,5,368,0,0,0,0,0,0,42,0,0,5,0,0,0,1
2013-01-02,"[16,20)",12,2,8.33333333333333,1,27,19,5,1,0,0,0,0,3,22,2,0,7,3,0,0,0,0,0,2,20,0,0,0,0,0,0,2,1,0,4
2013-01-02,"[16,20)",16,2,6.5,0.3,14,10,1,1,1,0,0,0,3,7,3,1,10,9,2,1,25,0,0,1,0,0,5,15,0,0,2,3,8,0,1
2013-01-02,"[16,20)",17,2,2,0.1,11,2,0,0,0,0,0,0,0,11,0,0,3,2,0,9,451,0,0,0,4,0,0,20,0,0,19,0,0,0,1
2013-01-02,"[16,20)",40,2,6,0.4,6,6,0,0,0,0,0,1,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,11,0,0,2,0,3,0,1
2013-01-02,"[20,24)",6,1,7.5,0.666666666666667,1,10,4,0,0,1,0,0,0,1,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-02,"[20,24)",22,1,14.8333333333333,0.787037037037037,89,76,3,6,3,0,1,1,16,67,5,0,9,10,5,31,4001,0,0,1,1,0,14,62,0,2,1,2,1,2,3
2013-01-02,"[20,24)",35,1,19.4,0.475490196078431,97,64,15,18,0,0,0,6,45,46,0,0,11,19,5,45,2276,1,3,0,25,9,2,171,0,3,2,7,3,0,3
2013-01-02,"[20,24)",11,2,8,0.941176470588235,30,31,0,1,0,0,0,0,3,25,2,0,9,2,0,6,518,0,0,0,0,0,0,42,0,0,5,0,0,0,3
2013-01-02,"[20,24)",12,2,11.5,0.92,25,17,5,1,0,0,0,0,2,21,2,0,3,3,0,0,0,0,0,2,20,0,0,0,0,0,0,2,1,0,3
2013-01-02,"[20,24)",16,2,7.5,0.35,15,11,2,1,0,1,0,1,2,8,4,0,15,14,2,2,50,0,0,0,0,0,5,15,0,0,2,1,8,0,1
2013-01-02,"[20,24)",17,2,2,0.1,7,2,0,0,0,0,0,0,1,6,0,0,3,1,1,4,203,0,0,0,0,0,0,24,0,0,18,0,0,0,1
2013-01-02,"[20,24)",40,2,7,0.466666666666667,7,7,0,0,0,0,0,0,1,6,0,0,7,7,0,0,0,0,0,0,0,0,0,12,0,0,2,0,2,0,1
2013-01-03,"[0,4)",22,1,16.8333333333333,0.907407407407407,101,87,5,6,2,0,1,3,16,74,7,1,21,10,0,35,4151,0,0,0,0,0,0,0,0,2,2,2,1,2,2
2013-01-03,"[0,4)",35,1,23.5,0.46078431372549,94,70,12,12,0,0,0,5,43,46,0,0,9,21,6,43,2276,0,1,0,25,11,3,171,0,2,0,7,3,0,3
2013-01-03,"[0,4)",11,2,10.3333333333333,0.911764705882353,30,29,0,2,0,0,0,0,2,26,2,0,0,0,0,8,668,0,0,0,37,0,0,37,0,0,4,0,0,0,3
2013-01-03,"[0,4)",12,2,10.5,0.84,21,15,4,2,0,0,0,1,0,18,1,1,7,11,0,0,0,0,0,1,31,0,0,0,0,0,0,2,1,0,1
2013-01-03,"[0,4)",16,2,3,0.15,6,3,1,2,0,0,0,0,2,3,0,1,0,11,0,0,0,0,0,2,22,0,2,22,0,0,1,1,8,0,1
2013-01-03,"[8,12)",1,1,7.875,0.495798319327731,63,48,6,5,3,1,0,8,22,32,1,0,8,5,2,23,3680,1,1,3,20,2,4,76,1,2,2,2,1,0,1
2013-01-03,"[8,12)",6,1,4.5,0.380952380952381,1,6,1,1,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-03,"[8,12)",22,1,17.1666666666667,0.953703703703704,103,91,3,9,0,0,0,6,17,72,6,2,11,10,0,49,4781,1,0,0,27,0,1,31,0,3,2,2,1,2,2
2013-01-03,"[8,12)",35,1,22.25,0.436274509803922,89,76,8,5,0,0,0,5,39,43,2,0,15,11,2,54,2276,2,3,0,110,1,0,52,0,0,1,5,2,0,3
2013-01-03,"[8,12)",11,2,10.6666666666667,0.911764705882353,28,24,6,1,0,1,0,0,4,21,3,0,8,0,0,11,1208,0,0,0,38,0,0,38,0,0,2,0,0,0,3
2013-01-03,"[8,12)",12,2,8.5,0.68,18,14,1,2,0,0,0,0,3,13,2,0,10,8,0,0,0,0,0,1,32,0,0,0,0,0,0,2,1,0,1
2013-01-03,"[8,12)",13,2,9.5,0.475,19,16,1,2,0,0,0,4,5,9,1,0,4,3,2,6,1022,2,0,1,4,0,1,23,0,0,2,0,0,0,1
2013-01-03,"[8,12)",14,2,7,1.1,35,27,3,3,2,0,0,1,4,22,8,0,8,6,1,14,2495,0,0,0,4,0,0,35,0,0,1,5,0,0,4
2013-01-03,"[8,12)",16,2,7.5,0.35,18,10,3,1,0,1,0,0,2,10,5,1,8,7,4,4,63,0,0,1,13,0,3,20,0,0,2,1,7,0,1
2013-01-03,"[8,12)",17,2,1,0.05,2,1,0,0,0,0,0,0,0,2,0,0,2,3,1,1,77,0,0,0,4,1,0,6,0,0,19,0,0,0,1
2013-01-03,"[8,12)",40,2,3,0.2,3,3,0,0,0,0,0,1,0,2,0,0,2,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1
2013-01-03,"[12,16)",1,1,9.375,0.588235294117647,74,55,10,5,3,1,1,10,28,35,1,0,18,5,0,26,3740,2,1,3,19,3,5,76,1,4,2,2,1,0,1
2013-01-03,"[12,16)",6,1,4,0.380952380952381,0,7,1,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-03,"[12,16)",22,1,17.5,0.962962962962963,105,93,3,8,1,0,0,4,22,73,5,1,8,14,9,38,2566,0,0,6,25,0,7,61,0,4,2,1,0,2,2
2013-01-03,"[12,16)",35,1,11.125,0.436274509803922,89,68,15,6,0,0,0,4,40,42,3,0,18,18,16,47,2276,2,3,0,58,3,1,110,0,1,1,6,9,2,1
2013-01-03,"[12,16)",11,2,8.5,0.970588235294118,26,26,6,1,1,0,0,0,5,18,3,0,5,0,3,13,1508,0,0,0,23,0,0,45,0,0,6,0,0,0,3
2013-01-03,"[12,16)",12,2,9.33333333333333,1.12,29,19,9,0,0,0,0,0,4,20,5,0,11,2,0,0,0,0,0,1,33,0,0,0,0,0,0,2,1,0,4
2013-01-03,"[12,16)",13,2,10.5,0.525,21,15,2,4,0,0,0,4,5,12,0,0,2,3,1,5,1009,3,0,0,1,0,1,22,0,0,1,0,0,0,1
2013-01-03,"[12,16)",14,2,7,1.16666666666667,35,28,3,4,0,0,0,1,2,28,4,0,14,15,4,12,2615,0,1,0,3,1,0,35,0,0,1,3,0,0,4
2013-01-03,"[12,16)",16,2,4.5,0.2,10,7,1,0,1,0,0,0,3,6,1,0,3,10,3,4,161,0,0,0,8,0,4,21,0,0,1,0,7,0,1
2013-01-03,"[12,16)",17,2,4,0.2,4,4,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,6,1,0,9,0,0,23,0,0,0,1
2013-01-03,"[12,16)",40,2,6,0.4,6,4,2,0,0,0,0,1,2,3,0,0,3,3,0,0,0,0,0,0,4,0,0,5,0,0,2,0,2,0,1
2013-01-03,"[16,20)",1,1,6.375,0.420168067226891,51,45,3,2,1,0,0,5,12,32,2,0,9,6,1,24,3036,2,0,2,5,3,11,74,1,2,3,2,0,0,1
2013-01-03,"[16,20)",6,1,5.5,0.476190476190476,1,10,0,0,1,0,0,0,0,1,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-03,"[16,20)",22,1,14.6666666666667,0.796296296296296,87,78,6,2,1,0,1,5,21,55,5,1,10,11,7,31,2013,1,0,5,14,0,13,76,0,4,2,1,0,0,3
2013-01-03,"[16,20)",35,1,15,0.362745098039216,74,58,14,2,0,1,0,3,30,39,2,0,8,9,4,38,2276,1,3,0,20,5,2,159,0,0,0,6,8,0,3
2013-01-03,"[16,20)",11,2,6.25,0.705882352941177,19,17,6,1,1,0,0,0,3,10,6,0,6,0,2,8,47,0,0,0,1,0,1,45,0,0,6,0,0,0,1
2013-01-03,"[16,20)",12,2,7,0.84,21,15,5,1,0,0,0,1,1,18,1,0,8,7,0,0,0,0,0,2,35,0,0,0,1,0,0,2,1,0,1
2013-01-03,"[16,20)",13,2,8.5,0.4,17,12,3,1,1,0,0,3,4,8,2,0,6,5,1,3,593,3,0,0,0,0,1,22,0,0,1,0,0,0,1
2013-01-03,"[16,20)",14,2,5,0.733333333333333,25,18,4,0,1,2,0,1,1,19,4,0,11,9,2,8,864,0,1,0,4,1,0,35,0,0,0,4,0,0,1
2013-01-03,"[16,20)",16,2,4,0.125,8,4,1,0,2,1,0,0,0,5,3,0,7,3,0,0,0,0,0,2,0,0,7,20,0,0,3,1,7,0,1
2013-01-03,"[16,20)",17,2,2,0.1,2,1,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,2,1,0,21,0,0,20,0,0,0,1
2013-01-03,"[16,20)",40,2,7,0.466666666666667,7,6,1,0,0,0,0,0,0,7,0,0,3,5,2,0,0,0,1,0,0,0,0,13,0,0,1,0,2,0,1
2013-01-03,"[20,24)",1,1,7.85714285714286,0.428571428571429,55,41,6,4,4,0,0,5,12,36,2,0,10,12,5,21,2815,2,1,3,0,5,13,74,0,1,0,2,0,0,1
2013-01-03,"[20,24)",6,1,6.5,0.619047619047619,0,11,2,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-03,"[20,24)",22,1,15,0.833333333333333,89,78,5,7,0,0,0,9,21,52,6,1,12,6,0,31,2283,0,0,1,1,0,16,78,0,3,1,0,0,0,3
2013-01-03,"[20,24)",35,1,14.4,0.352941176470588,72,58,9,5,0,0,0,2,26,42,2,0,12,20,9,34,2276,1,2,0,19,6,3,159,0,1,0,4,5,0,3
2013-01-03,"[20,24)",11,2,6.75,0.735294117647059,20,17,6,2,0,1,1,0,3,12,5,0,5,1,1,11,227,0,0,1,0,0,2,45,0,0,5,0,0,0,1
2013-01-03,"[20,24)",12,2,13,1.04,28,23,2,1,0,0,0,4,4,17,3,0,6,5,0,0,0,0,0,2,35,0,0,0,1,0,0,2,1,0,4
2013-01-03,"[20,24)",13,2,7.5,0.35,15,12,2,0,1,0,0,1,1,12,1,0,3,4,3,3,32,1,0,0,0,0,1,22,0,0,0,0,0,0,1
2013-01-03,"[20,24)",14,2,7,0.866666666666667,28,16,5,5,0,1,1,1,2,18,7,0,15,8,0,6,1074,0,0,1,0,1,1,35,0,0,0,4,0,0,3
2013-01-03,"[20,24)",16,2,7.5,0.35,16,14,0,0,1,0,0,0,3,6,7,0,9,9,0,0,0,0,0,1,0,0,8,20,0,0,2,1,7,0,1
2013-01-03,"[20,24)",17,2,2,0.1,5,1,1,0,0,0,0,0,0,4,1,0,3,1,2,1,67,0,0,0,0,1,0,23,0,0,20,0,0,0,1
2013-01-03,"[20,24)",40,2,6,0.4,6,6,0,0,0,0,0,0,1,5,0,0,4,6,0,0,0,0,0,0,0,1,0,13,0,0,1,0,2,0,1
2013-01-04,"[0,4)",1,1,7.71428571428571,0.453781512605042,54,40,6,8,0,0,0,4,13,36,1,0,11,6,1,23,3055,1,0,0,0,0,1,97,0,1,1,0,0,0,1
2013-01-04,"[0,4)",6,1,0.5,0.0476190476190476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-04,"[0,4)",22,1,14.5,0.805555555555556,87,78,1,8,0,0,0,8,19,53,6,1,5,5,0,38,2613,0,0,0,0,0,0,0,0,3,1,0,0,0,3
2013-01-04,"[0,4)",35,1,19.5,0.382352941176471,78,62,6,10,0,0,0,3,28,45,2,0,18,8,2,36,2276,3,1,0,18,7,4,160,0,1,0,3,4,0,3
2013-01-04,"[0,4)",11,2,7.66666666666667,0.647058823529412,21,20,2,0,1,0,0,0,3,15,3,0,5,3,0,14,467,0,0,0,42,0,0,42,0,0,5,0,0,0,1
2013-01-04,"[0,4)",12,2,11,0.88,25,20,2,0,0,0,0,2,4,17,2,0,7,2,0,0,0,0,0,0,29,0,0,0,2,0,0,2,1,0,3
2013-01-04,"[0,4)",13,2,5.5,0.225,11,7,1,1,2,0,0,0,2,9,0,0,6,5,2,0,-1,0,0,0,0,0,0,19,0,0,0,0,0,0,1
